epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,16.1523,1.25599,3.28582,3.02502,1.61704,0,0.43222,0.27133,0.26699,0.14105,0.22279,0.13316,0.09001,0.04403,2.06405,7.04429,3.24486,2.33139,0,0.000407407,0.000407407,0.000407407
2,31.4309,1.33001,2.85312,2.11984,1.61326,0,0.07447,0.16702,0.05481,0.02157,0.13107,0.11337,0.05684,0.02274,2.29196,4.61306,4.13277,3.07314,0,0.000818635,0.000818635,0.000818635
3,46.9988,1.42216,2.97908,2.06779,1.69659,0,0.16598,0.22838,0.11923,0.04896,0.14577,0.20601,0.08704,0.03175,2.22986,8.01737,3.65796,2.90543,0,0.00122436,0.00122436,0.00122436
4,62.545,1.41593,2.91956,1.95628,1.64774,0,0.5739,0.27103,0.26141,0.11352,0.58164,0.2734,0.25569,0.1221,1.96677,4.76812,3.91284,2.71154,0,0.00122525,0.00122525,0.00122525
5,78.0893,1.43974,2.90187,1.87083,1.6969,0,0.5126,0.46592,0.43539,0.18898,0.47018,0.43556,0.36178,0.15669,1.86675,3.78796,2.74812,2.31211,0,0.001217,0.001217,0.001217
6,93.1862,1.38528,2.90127,1.87296,1.63423,0,0.43263,0.40665,0.38993,0.17362,0.44411,0.27628,0.24042,0.10003,1.85287,4.23112,2.21632,2.30217,0,0.00120875,0.00120875,0.00120875
7,108.651,1.30151,2.79181,1.72506,1.57421,0,0.57314,0.55232,0.51802,0.28639,0.53821,0.5176,0.47803,0.24036,1.56615,3.55676,2.13921,2.03442,0,0.0012005,0.0012005,0.0012005
8,124.263,1.27459,2.68213,1.62374,1.54741,0,0.64541,0.49234,0.55229,0.29479,0.60895,0.44366,0.47932,0.22962,1.63824,3.5667,1.94202,1.9925,0,0.00119225,0.00119225,0.00119225
9,139.173,1.2717,2.6647,1.63632,1.54606,0,0.53236,0.44247,0.47321,0.24905,0.53891,0.42702,0.46314,0.23814,1.66304,3.5123,2.4243,2.12121,0,0.001184,0.001184,0.001184
10,154.102,1.27423,2.67044,1.5363,1.55383,0,0.63382,0.43776,0.50618,0.28678,0.48095,0.54144,0.49002,0.25169,1.56895,3.40447,2.05634,1.94408,0,0.00117575,0.00117575,0.00117575
11,169.669,1.25128,2.61946,1.59598,1.53084,0,0.50319,0.57146,0.49138,0.268,0.47044,0.51519,0.44216,0.22285,1.49904,3.10993,2.2199,1.88105,0,0.0011675,0.0011675,0.0011675
12,185.122,1.21861,2.55949,1.59439,1.49972,0,0.6488,0.56637,0.58878,0.34551,0.68112,0.51823,0.56234,0.31088,1.4468,2.89436,2.20544,1.85566,0,0.00115925,0.00115925,0.00115925
13,200.678,1.15994,2.53144,1.45013,1.49236,0,0.74511,0.5583,0.60919,0.37947,0.72759,0.54343,0.58955,0.32491,1.41946,3.34157,1.75896,1.83375,0,0.001151,0.001151,0.001151
14,215.93,1.11754,2.50082,1.43689,1.46748,0,0.58914,0.50377,0.49694,0.28596,0.59696,0.47217,0.47849,0.23052,1.51766,2.99846,1.96596,2.01558,0,0.00114275,0.00114275,0.00114275
15,230.728,1.13742,2.45166,1.38444,1.45644,0,0.76537,0.5502,0.6003,0.37675,0.74681,0.53302,0.57911,0.32815,1.36945,3.00464,1.68328,1.76901,0,0.0011345,0.0011345,0.0011345
16,245.841,1.15081,2.48341,1.4442,1.46785,0,0.65267,0.5972,0.59549,0.34196,0.62752,0.55081,0.54758,0.29215,1.42683,3.24907,1.87204,1.82605,0,0.00112625,0.00112625,0.00112625
17,261.148,1.1356,2.50725,1.37745,1.46902,0,0.67558,0.60368,0.63876,0.35089,0.64396,0.57637,0.58232,0.30647,1.41555,3.12229,1.70991,1.84075,0,0.001118,0.001118,0.001118
18,275.978,1.11916,2.42223,1.32349,1.44786,0,0.68495,0.60575,0.61398,0.40325,0.66422,0.58997,0.58551,0.33192,1.35992,3.3001,1.62955,1.78735,0,0.00110975,0.00110975,0.00110975
19,290.862,1.06477,2.2609,1.25547,1.39656,0,0.54965,0.58975,0.55368,0.33779,0.51946,0.57903,0.52868,0.29242,1.38843,2.8782,1.74207,1.80814,0,0.0011015,0.0011015,0.0011015
20,306.031,1.06136,2.35974,1.29827,1.41485,0,0.61336,0.57345,0.58087,0.37105,0.60146,0.57815,0.56814,0.31175,1.38322,3.33294,1.72147,1.76224,0,0.00109325,0.00109325,0.00109325
21,321.221,1.04423,2.33001,1.2598,1.39378,0,0.69267,0.59612,0.6176,0.41487,0.68434,0.58679,0.59713,0.35595,1.21426,3.51151,1.62178,1.6809,0,0.001085,0.001085,0.001085
22,336.359,1.05248,2.31322,1.19898,1.40658,0,0.71357,0.63439,0.69361,0.42137,0.65579,0.62056,0.64012,0.35913,1.40896,2.85552,1.48028,1.84012,0,0.00107675,0.00107675,0.00107675
